mean_value_ML,mean_value_AP,mean_distance_ML,mean_distance_AP,mean_distance_Radius,maximal_distance_ML,maximal_distance_AP,maximal_distance_Radius,rms_ML,rms_AP,rms_Radius,range_ML,range_AP,range_ML_AND_AP,range_ratio_ML_AND_AP,planar_deviation_ML_AND_AP,coefficient_sway_direction_ML_AND_AP,confidence_ellipse_area_ML_AND_AP,principal_sway_direction_ML_AND_AP,mean_velocity_ML,mean_velocity_AP,mean_velocity_ML_AND_AP,sway_area_per_second_ML_AND_AP,phase_plane_parameter_ML,phase_plane_parameter_AP,LFS_ML_AND_AP,fractal_dimension_ML_AND_AP,zero_crossing_SPD_ML,peak_velocity_pos_SPD_ML,peak_velocity_neg_SPD_ML,peak_velocity_all_SPD_ML,zero_crossing_SPD_AP,peak_velocity_pos_SPD_AP,peak_velocity_neg_SPD_AP,peak_velocity_all_SPD_AP,mean_peak_Sway_Density,mean_distance_peak_Sway_Density,mean_frequency_ML,mean_frequency_AP,mean_frequency_ML_AND_AP,total_power_Power_Spectrum_Density_ML,total_power_Power_Spectrum_Density_AP,power_frequency_50_Power_Spectrum_Density_ML,power_frequency_50_Power_Spectrum_Density_AP,power_frequency_95_Power_Spectrum_Density_ML,power_frequency_95_Power_Spectrum_Density_AP,frequency_mode_Power_Spectrum_Density_ML,frequency_mode_Power_Spectrum_Density_AP,centroid_frequency_Power_Spectrum_Density_ML,centroid_frequency_Power_Spectrum_Density_AP,frequency_dispersion_Power_Spectrum_Density_ML,frequency_dispersion_Power_Spectrum_Density_AP,energy_content_below_05_Power_Spectrum_Density_ML,energy_content_below_05_Power_Spectrum_Density_AP,energy_content_05_2_Power_Spectrum_Density_ML,energy_content_05_2_Power_Spectrum_Density_AP,energy_content_above_2_Power_Spectrum_Density_ML,energy_content_above_2_Power_Spectrum_Density_AP,frequency_quotient_Power_Spectrum_Density_ML,frequency_quotient_Power_Spectrum_Density_AP,short_time_diffusion_Diffusion_ML,long_time_diffusion_Diffusion_ML,critical_time_Diffusion_ML,critical_displacement_Diffusion_ML,short_time_scaling_Diffusion_ML,long_time_scaling_Diffusion_ML,short_time_diffusion_Diffusion_AP,long_time_diffusion_Diffusion_AP,critical_time_Diffusion_AP,critical_displacement_Diffusion_AP,short_time_scaling_Diffusion_AP,long_time_scaling_Diffusion_AP,Label
0.046123,-1.461512,0.385651,0.543167,0.73073,1.990957,3.392738,3.563114,0.486396,0.713827,0.863788,2.938598,5.487259,5.660677,0.535531,0.863788,-0.11538,6.502487,8.17892,0.751223,1.80027,2.082292,0.453488,1.10304,2.456606,38.38918,2.259947,609,0.914419,0.947741,0.93108,664,2.444778,2.268189,2.35635,0.692873,0.579309,0.344465,0.586103,0.45368,9.591152,28.023391,0.275275,0.383717,1.042709,1.509843,0.15015,0.15015,0.531382,0.734979,0.678421,0.685841,7.799288,16.399796,1.716937,10.847384,0.074928,0.776212,0.007874,0.028488,0.352351,0.387064,1.059149,0.387522,0.827853,0.010303,1.509905,0.919846,0.731532,0.927016,0.780243,-0.012418,C
0.0425,-0.365777,0.532939,0.484075,0.806206,2.655908,1.882897,2.862772,0.692067,0.611752,0.923687,4.831125,3.472476,5.234222,1.391262,0.923687,-0.147244,7.89535,65.013225,1.797017,1.563116,2.643301,0.664627,2.49875,2.122516,40.134876,2.353989,468,2.484448,2.574957,2.529606,507,2.090614,2.191316,2.140965,0.4465,0.829212,0.596273,0.571017,0.521994,28.515781,25.017812,0.358692,0.367034,1.676677,1.39306,0.15015,0.15015,0.769603,0.694465,0.666549,0.670305,17.570191,16.078291,10.278456,8.2821,0.667134,0.657422,0.023956,0.026987,2.105926,0.936534,0.613918,0.941689,0.824806,-0.005626,1.397278,0.788905,0.703945,0.789882,0.812403,-0.001764,C
0.496358,-1.401023,0.364302,0.400104,0.606724,2.190242,1.755362,2.219504,0.481193,0.506953,0.698962,3.597115,3.442918,3.627351,1.044787,0.698962,0.093841,4.579032,30.463662,0.742287,1.185803,1.534157,0.299844,1.060709,1.618867,40.164544,2.179861,727,0.848929,0.877055,0.862992,602,1.479748,1.513638,1.496665,0.936365,0.420978,0.360313,0.524095,0.402572,10.872509,16.603168,0.266934,0.291959,0.859193,1.334668,0.233567,0.225225,0.467397,0.624935,0.662218,0.702836,9.612225,12.693116,1.204683,3.683593,0.055602,0.22646,0.00514,0.013828,0.319075,0.282832,0.923082,0.279504,0.827185,0.073962,0.812678,0.352416,0.580691,0.334341,0.817032,0.048434,C
0.314393,-0.549541,0.573516,0.48697,0.825558,2.559821,1.802601,2.829481,0.721078,0.59938,0.937662,4.831292,3.574774,5.147247,1.351496,0.937662,-0.111598,8.097866,74.512005,1.251245,1.495727,2.162471,0.594851,1.825449,2.047409,32.012998,2.214972,472,1.606141,1.693395,1.64986,425,2.024766,1.93057,1.977668,0.551764,0.783611,0.385804,0.543151,0.41703,26.752698,24.267392,0.25025,0.458792,1.267935,1.201201,0.15015,0.375375,0.551745,0.697909,0.695779,0.564541,21.647088,13.347756,4.938685,10.615713,0.166925,0.303923,0.006279,0.012683,1.241633,1.037776,0.900789,1.037714,0.858537,0.00029,1.850512,0.334793,0.331613,0.268558,0.87433,0.099857,C
1.412529,0.186249,0.929037,1.09483,1.59927,3.859579,4.202153,4.317307,1.164596,1.377935,1.804158,6.999884,8.376921,8.524807,0.835615,1.804158,-0.028722,30.243483,4.822519,3.061922,4.586873,6.083899,3.004698,4.292364,6.296091,24.115535,2.47182,439,4.386301,4.276854,4.331577,629,6.480058,5.663266,6.071662,0.177961,1.827326,0.582815,0.740867,0.605655,87.752878,109.075621,0.408742,0.675676,1.559893,1.885219,0.15015,0.15015,0.771661,1.011206,0.635387,0.61809,50.148406,40.673672,36.459566,63.970565,1.144906,4.431385,0.013219,0.042347,6.794498,2.389119,0.525351,2.303989,0.840059,0.028184,9.677386,2.811869,0.427816,2.63117,0.766941,0.039114,C
-0.074822,-0.670231,0.536776,0.641342,0.924002,2.167293,3.118029,3.136844,0.668556,0.815367,1.054415,3.966801,6.053085,6.106101,0.655336,1.054415,0.004229,10.277672,0.606326,2.362388,3.285553,4.477307,1.274822,3.176197,4.508235,52.223849,2.663463,495,3.116652,3.457319,3.286986,566,4.837004,4.228287,4.532107,0.247796,1.375374,0.778266,0.905918,0.771452,44.85319,55.894793,0.442109,0.759092,1.509843,1.810143,0.266934,0.175175,0.801001,1.006421,0.625052,0.562871,25.41327,16.362401,18.621733,37.173219,0.818186,2.359173,0.01858,0.044067,3.619962,0.802318,0.396876,0.77944,0.830857,0.015652,5.83857,0.963118,0.295512,0.847091,0.79178,0.052651,C
-0.570433,0.032627,0.758754,0.872423,1.271154,2.828361,3.006713,3.570742,0.935703,1.060017,1.413922,5.35156,5.857684,6.155406,0.913597,1.413922,-0.134547,18.530668,23.545896,1.834045,3.625626,4.409503,1.749808,2.542922,4.74421,28.526287,2.414448,462,2.33697,2.427745,2.382259,602,4.984135,4.797029,4.890426,0.244433,1.432854,0.427444,0.734896,0.552276,69.893046,76.610001,0.233567,0.592259,0.992659,1.89356,0.175175,0.266934,0.481756,0.890529,0.701604,0.601866,59.901328,30.034577,9.487584,43.506771,0.504134,3.068653,0.007265,0.041727,2.469039,1.537497,0.753727,1.518626,0.859533,0.02184,6.111176,1.373405,0.352587,1.188327,0.785438,0.069426,C
1.020439,1.155543,0.358362,0.505092,0.685932,1.685598,2.211084,2.230987,0.449434,0.649039,0.789457,2.940672,4.225955,4.253631,0.69586,0.789457,-0.019933,5.49867,1.5179,1.415122,1.609928,2.400851,0.522669,1.986602,2.20968,52.342479,2.4141,502,1.927771,1.944573,1.936189,523,2.250574,2.142845,2.19671,0.485081,0.766236,0.6983,0.563646,0.557249,20.260677,30.566042,0.375375,0.316984,1.49316,1.384718,0.266934,0.15015,0.720514,0.643807,0.648415,0.692483,13.297294,22.7232,6.607511,7.298392,0.355873,0.544449,0.017879,0.018135,1.349303,0.336999,0.415257,0.317018,0.824015,0.034773,1.512792,0.841585,0.696596,0.839657,0.81416,0.003173,C
-0.587521,0.24534,0.392368,0.636295,0.822357,1.943137,2.356101,2.515156,0.503095,0.803443,0.947959,3.873608,4.512885,4.567551,0.858344,0.947959,0.12739,7.558918,7.352441,1.839268,1.646312,2.74348,0.723733,2.486195,2.234836,43.509982,2.395529,519,2.645094,2.491358,2.568226,628,2.208947,2.148983,2.178917,0.445844,0.754735,0.828936,0.457534,0.531137,22.019478,27.154122,0.500501,0.291959,1.74341,1.334668,0.2002,0.15015,0.891513,0.676898,0.629642,0.724707,10.901236,19.430209,10.481888,7.138668,0.636354,0.585246,0.02976,0.022028,1.93848,0.410295,0.362158,0.376621,0.806567,0.042157,1.176421,1.195743,1.010795,1.196251,0.778386,0.019765,C
-0.287934,1.146017,0.545481,0.554715,0.868661,2.785144,3.257135,3.339562,0.689989,0.741647,1.012978,5.223135,5.432603,5.527638,0.961443,1.012978,0.053145,9.634572,18.166567,2.472795,2.52357,3.966352,1.154977,3.463785,3.496659,49.352097,2.586975,418,3.789858,3.650602,3.720063,476,3.565644,3.43093,3.498145,0.26959,1.372192,0.801639,0.804481,0.726953,49.785676,47.269713,0.483817,0.650651,1.518185,1.526527,0.358692,0.166834,0.805651,0.857626,0.588862,0.587988,25.524939,18.392026,23.429852,27.769737,0.830885,1.10795,0.016973,0.024001,4.717523,0.970229,0.395199,0.983552,0.844424,-0.007346,4.451831,0.946603,0.383002,0.898273,0.833892,0.027303,C
